assemblage_id,group_label,method,analysis_tier,scenario,scenario_family,baseline_scenario,unit_type,iter
carabidae_pitfall,Carabidae,pitfall-trap,main,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
carabidae_pitfall,Carabidae,pitfall-trap,main,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
carabidae_pitfall,Carabidae,pitfall-trap,main,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
carabidae_pitfall,Carabidae,pitfall-trap,main,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
carabidae_pitfall,Carabidae,pitfall-trap,main,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
carabidae_pitfall,Carabidae,pitfall-trap,main,species_baseline,species_error,species_baseline,species_units,1
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,5
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,5
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,5
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,6
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,6
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,6
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,7
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,7
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,7
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,8
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,8
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,8
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,9
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,9
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,9
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,10
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,10
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,10
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,11
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,11
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,11
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,12
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,12
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,12
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,13
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,13
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,13
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,14
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,14
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,14
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,15
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,15
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,15
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,16
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,16
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,16
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,17
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,17
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,17
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,18
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,18
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,18
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,19
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,19
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,19
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,20
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,20
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,20
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,21
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,21
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,21
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,22
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,22
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,22
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,23
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,23
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,23
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,24
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,24
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,24
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,25
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,25
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,25
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,26
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,26
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,26
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,27
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,27
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,27
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,28
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,28
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,28
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,29
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,29
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,29
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,30
carabidae_pitfall,Carabidae,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,30
carabidae_pitfall,Carabidae,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,30
